,Bird Species,count
0,American black duck,41
1,American coot,3
2,American crow,42
3,American kestrel,1
4,American robin,2
5,American white pelican,62
6,American wigeon,66
7,Bald eagle,312
8,Barn swallow,1
9,Barred owl,21
10,Black swan,2
11,Black vulture,36
12,Blue jay,1
13,Blue-winged teal,241
14,Brant,1
15,Broad-winged hawk,1
16,Bufflehead,6
17,Canada goose,418
18,Canvasback,8
19,Caspian tern,13
20,Chilean flamingo,1
21,Common goldeneye,4
22,Common loon,5
23,Common merganser,14
24,Common raven,3
25,Common tern,3
26,Cooper's hawk,10
27,Cormorant (unidentified),7
28,Crow (unidentified),5
29,Dark-eyed junco,1
30,Double-crested cormorant,18
31,Duck (unidentified),5
32,Eagle (unidentified),4
33,Eared grebe,1
34,Eastern screech owl,1
35,European starling,8
36,Gadwall,85
37,Golden eagle,1
38,Goose (unidentified),18
39,Great blue heron,2
40,Great egret,1
41,Great horned owl,154
42,Greater scaup,7
43,Greater white-fronted goose,4
44,Green heron,1
45,Green-winged teal,274
46,Gull (unidentified),1
47,Hawk (unidentified),5
48,Hermit thrush,1
49,Herring gull,26
50,Hooded merganser,22
51,Horned lark,2
52,House sparrow,36
53,Lesser scaup,15
54,Long-tailed duck,3
55,Mallard,918
56,Mallard/Black duck hybrid,2
57,Merganser (unidentified),5
58,Mute swan,4
59,Northern harrier,1
60,Northern pintail,96
61,Northern shoveler,39
62,Osprey,1
63,Peafowl (unidentified),1
64,Pelican (unidentified),10
65,Peregrine Falcon,1
66,Peregrine falcon,36
67,Pied-billed grebe,1
68,Red-breasted goose,1
69,Red-breasted merganser,15
70,Red-shouldered hawk,10
71,Red-tailed hawk,129
72,Red-winged blackbird,2
73,Redhead duck,22
74,Ring-Necked Duck,1
75,Ring-billed gull,5
76,Ring-necked duck,55
77,Rock pigeon,13
78,Ross's goose,23
79,Rough-legged hawk,3
80,Ruddy duck,2
81,Sandhill crane,20
82,Sharp-shinned hawk,2
83,Snow goose,236
84,Snowy owl,18
85,Swan (unidentified),11
86,Teal (unidentified),1
87,Trumpeter swan,67
88,Tundra swan,22
89,Turkey vulture,25
90,White-winged scoter,1
91,Whooping crane,1
92,Wood Duck,1
93,Wood duck,349
